param_type,width_multiplier,rng_seed,post_encoder,ssm_state_0,ssm_output_0,ssm_post_gelu_0,ssm_post_glu_0,ssm_state_1,ssm_output_1,ssm_post_gelu_1,ssm_post_glu_1,output
standard,2,6,0.25229996,0.14393605,0.45794913,0.29155397,0.29061386,0.17992003,0.6649023,0.32129687,0.20088825,0.4833846
standard,2,7,0.2584378,0.2637139,0.6201315,0.27670145,0.2911887,0.13114488,0.40987808,0.1690045,0.12615845,0.30034322
standard,2,8,0.19621225,0.14844373,0.5327229,0.29995364,0.22265635,0.09496693,0.30670977,0.18800226,0.11788484,0.33632174
standard,2,9,0.21279514,0.12046121,0.4360398,0.23589897,0.20383011,0.108520135,0.38464394,0.2197401,0.17342806,0.44202477
standard,4,0,0.16564894,0.1341522,0.48695537,0.29910186,0.1976965,0.07278146,0.30002737,0.16467884,0.10728668,0.37040672
standard,4,1,0.24003918,0.14828704,0.43961024,0.26418522,0.22335002,0.08094752,0.35869083,0.18348046,0.13424273,0.45269707
standard,4,2,0.18737812,0.17036584,0.5677685,0.37667412,0.26635805,0.08462666,0.4118632,0.19106555,0.114822865,0.4388724
standard,4,3,0.16874844,0.089544155,0.38941213,0.213321,0.15177733,0.054990605,0.32005164,0.17176872,0.10334458,0.37128767
standard,4,4,0.20485705,0.1427827,0.5195139,0.33517063,0.24221458,0.071327016,0.36573294,0.20967205,0.15426277,0.51931757
standard,4,5,0.25042397,0.15043674,0.49864691,0.26141575,0.22674179,0.1311984,0.5383078,0.26322165,0.1690943,0.5699459
standard,4,6,0.19203949,0.12053447,0.40705612,0.24233629,0.20427401,0.096518084,0.41649032,0.21195121,0.12045351,0.4334405
standard,4,7,0.19255355,0.1080731,0.39514983,0.2167261,0.18069924,0.07157934,0.27827418,0.14893252,0.11295458,0.36371532
standard,4,8,0.18059273,0.11792469,0.40589884,0.23118088,0.2043435,0.06644758,0.31345004,0.13973385,0.089188136,0.39691058
standard,4,9,0.23454048,0.114812426,0.40151474,0.22819385,0.1976094,0.08584545,0.4612373,0.19626461,0.13296081,0.4275396
standard,8,0,0.19735135,0.104819566,0.42390087,0.23178543,0.18612054,0.04279042,0.23783687,0.12168824,0.091038585,0.4768936
standard,8,1,0.19440736,0.09928991,0.41137108,0.25082976,0.19913822,0.048261363,0.26811334,0.12979421,0.0956375,0.45910063
standard,8,2,0.20824726,0.08379402,0.38477638,0.23108512,0.17809054,0.057785142,0.28904566,0.13383752,0.09280498,0.48667648
standard,8,3,0.1869757,0.10407234,0.40958214,0.20809373,0.15074976,0.042552955,0.24195243,0.13123648,0.08754233,0.41056374
standard,8,4,0.19331081,0.10880556,0.4442563,0.25230587,0.17958447,0.040234037,0.25894478,0.14138046,0.096075855,0.49739233
standard,8,5,0.19357231,0.080252394,0.36805403,0.21281494,0.15638748,0.043892592,0.22471614,0.11922516,0.088608585,0.42610976
standard,8,6,0.21581504,0.0668443,0.3126901,0.16835335,0.15183151,0.044712953,0.25155455,0.13173686,0.09995203,0.4916175
standard,8,7,0.2027952,0.08997837,0.39509436,0.2071522,0.15661027,0.04373505,0.22473003,0.12104772,0.085388474,0.4305278
standard,8,8,0.20966852,0.08573641,0.37438285,0.21356468,0.15465374,0.048396543,0.24220644,0.121992335,0.08531351,0.44944224
standard,8,9,0.1929083,0.083830886,0.33260405,0.18812823,0.16377513,0.042018905,0.23863631,0.113930404,0.08493941,0.4328832
standard,16,0,0.19572677,0.057018775,0.29258755,0.16440374,0.13226266,0.022256374,0.15875076,0.081334874,0.06504808,0.46876743
standard,16,1,0.17917769,0.04711433,0.24029066,0.13895348,0.10190631,0.02253265,0.1686375,0.090223044,0.06736167,0.42968526
standard,16,2,0.1979882,0.06660683,0.33286807,0.18278864,0.15064645,0.034545965,0.2050344,0.10458255,0.07793761,0.5236962
